text,label
"['love', 'healthuandpets', 'u', 'guys', 'r', 'best']",1
"['im', 'meeting', 'one', 'besties', 'tonight', 'cant', 'wait', 'girl', 'talk']",1
"['darealsunisakim', 'thanks', 'twitter', 'add', 'sunisa', 'got', 'meet', 'hin', 'show', 'dc', 'area', 'sweetheart']",1
"['sick', 'really', 'cheap', 'hurts', 'much', 'eat', 'real', 'food', 'plus', 'friends', 'make', 'soup']",1
"['lovesbrooklyn', 'effect', 'everyone']",1
"['productoffear', 'tell', 'burst', 'laughing', 'really', 'loud', 'thanks', 'making', 'come', 'sulk']",1
"['rkeithhill', 'thans', 'response', 'ihad', 'already', 'find', 'answer']",1
"['keepinupwkris', 'jealous', 'hope', 'great', 'time', 'vegas', 'like', 'acms', 'love', 'show']",1
"['tommcfly', 'ah', 'congrats', 'mr', 'fletcher', 'finally', 'joining', 'twitter']",1
"['evoip', 'responded', 'stupid', 'cat', 'helping', 'type', 'forgive', 'errors']",1
"['crazy', 'day', 'school', 'hours', 'straiiight', 'watch', 'hills', 'spencerpratt', 'told', 'too', 'ha', 'happy', 'birthday', 'jb']",1
"['naughtyhaughty', 'forget', 'two', 'half', 'men', 'love', 'show']",1
"['nileyjileyluver', 'haha', 'worry', 'get', 'hang', 'it']",1
"['soundwav', 'least', 'one', 'feeling', 'lost', 'may', 'cause', 'many', 'later', 'usual', 'nights', 'already', 'addicting']",1
"['lutheranlucciol', 'make', 'sure', 'dm', 'post', 'link', 'video', 'ltlolgtso', 'miss', 'better', 'get', 'permission', 'blessing', 'first']",1
"['added', 'tweetie', 'new', 'iphone']",1
"['michellardi', 'really', 'know', 'think', 'globe', 'yeah', 'sana', 'gumaling', 'na', 'ko', 'para', 'alam', 'ko', 'na', 'din', 'kung', 'makakasama', 'ako']",1
"['nicolerichie', 'picture', 'sweet']",1
"['catching', 'emails', 'rss', 'random', 'bacn', 'im', 'cutting', 'early', 'tonight', 'pm', 'dinner', 'lauraw']",1
"['dancing', 'around', 'room', 'pjs', 'jamming', 'ipod', 'getting', 'dizzy', 'well', 'twitter', 'asked']",1
"['place', 'peeps', 'contest', 'thanks', 'voting', 'anyways']",1
"['going', 'bed', 'goodnight', 'everyone', 'sweet', 'dreams', 'httptwitpiccomye']",1
"['littlelumen', 'walking', 'put', 'deposit', 'tomorrow']",1
"['followinq', 'dachesterfrench', 'shud', 'tha']",1
"['lordpov', 'meant', 'add', 'back', 'quottwittering', 'toilet', 'cubicle', 'somewherequot']",1
"['aw', 'im', 'holding', 'new', 'puppy', 'well', 'hes', 'mine', 'hes', 'cutie']",1
"['ijohn', 'kitteh', 'sleepin', 'crotch', 'proves', 'likes']",1
"['dramabeats', 'agreed']",1
"['reaching', 'amritsar', 'hour', 'if', 'find', 'bus', 'wagah', 'border', 'pm', 'httpbkitecomfuj']",1
"['albinla', 'thinking', 'tonight', 'let', 'first', 'interview', 'famous', 'super', 'star']",1
"['happy', 'spend', 'time', 'family']",1
"['finally', 'going', 'bed', 'tired', 'gonna', 'watch', 'hills', 'didnt']",1
"['effing', 'tired', 'throat', 'hurting', 'ooooohh', 'got', 'crazy', 'craving', 'pina', 'coladabanana', 'slushie']",1
"['deon', 'upload', 'di', 'indowebster', 'dong', 'banggggg']",1
"['wisdomous', 'welcome', 'glad', 'enjoyed', 'it']",1
"['hawaiishellz', 'hahaha', 'omg', 'wer', 'laughin', 'hook', 'cuz', 'das', 'rolllryt', 'sheldawg']",1
"['sickwiththepen', 'awww', 'pookie', 'feel', 'better', 'ill', 'pray', 'youand', 'bag', 'nurse']",1
"['yay', 'found', 'new', 'cuddle', 'buddy']",1
"['think', 'met', 'first', 'quotsnobquot', 'twitter', 'tonight', 'bad', 'life', 'goes', 'on']",1
"['across', 'universe', 'sleep', 'rehearsal', 'tomorrow']",1
"['annabellee', 'dry', 'sweet', 'potato', 'huh']",1
"['jonathanrknight', 'hi', 'jon', 'great', 'hear', 'you', 'see', 'cruise', 'cannot', 'wait', 'hope', 'well', 'knight', 'bus', 'loved']",1
"['long', 'conversation', 'mom', 'phone']",1
"['suitelifeofkell', 'yayyy', 'lol', 'requested', 'herrr', 'say']",1
"['practicing', 'linesmannerismsvoices', 'upcoming', 'feature', 'shoot', 'probably', 'driving', 'brock', 'crazy']",1
"['going', 'go', 'read', 'new', 'moon', 'rd', 'time', 'cant', 'get', 'enough', 'twilight', 'series']",1
"['today', 'two', 'month', 'anniversary', 'love', 'sooooooo', 'much', 'diana', 'omg', 'dont', 'even', 'know', 'tar', 'heels', 'ncaa', 'woot']",1
['bored'],1
"['stevecla', 'wallpaper', 'red', 'square', 'asking']",1
"['rkeithhill', 'thanks', 'response', 'ihad', 'already', 'find', 'answer']",1
"['popemello', 'well', 'yeah', 'noticed', 'cuz', 'im', 'bb', 'too']",1
"['tryna', 'get', 'inspired', 'thats']",1
"['kourtneykardash', 'cant', 'get', 'early', 'enough', 'night', 'workouts', 'much', 'better']",1
"['ladygaga', 'cant', 'wait', 'see', 'ur', 'hot', 'ass', 'austin', 'woot', 'woot', 'annnd', 'love', 'bob', 'purple', 'went', 'royal', 'color', 'way', 'well']",1
"['quotablebuffy', 'got', 'bunch', 'buffy', 'songs', 'too', 'one', 'faves', 'quotvivianquot', 'nerf', 'herder', 'faith', 'met', 'spike', 'buffys', 'body']",1
"['devunity', 'wallpaper', 'check', 'gt', 'httptwitpiccomye']",1
"['morning', 'tweetland', 'long', 'day', 'ahead', 'hope', 'everyone', 'great', 'day']",1
"['uploading', 'pictures', 'friendster']",1
